Id,Description,CanBeModifier,RBR_Pacenote_Id,RBR_Modifier_Id,RBR_Type
detail_wall_outside,外侧墙,1,-1,-1,
detail_water_splash,水洼,1,388,-1,
detail_widens,变宽,1,15|267|40005,16384,
number_20,20米,1,150,-1,
number_30,30米,1,151,-1,
number_40,40米,1,152,-1,
number_50,50米,1,153,-1,
number_60,60米,1,154,-1,
number_70,70米,1,155,-1,
number_80,80米,1,156,-1,
number_90,90米,1,157,-1,
number_100,100米,1,158,-1,
number_110,110米,1,-1,-1,
number_120,120米,1,159,-1,
number_130,130米,1,-1,-1,
number_140,140米,1,160,-1,
number_150,150米,1,161,-1,
number_160,160米,1,162,-1,
number_170,170米,1,-1,-1,
number_180,180米,1,163,-1,
number_190,190米,1,-1,-1,
number_200,200米,1,164,-1,
number_210,210米,1,-1,-1,
number_220,220米,1,-1,-1,
number_230,230米,1,-1,-1,
number_240,240米,1,-1,-1,
number_250,250米,1,165,-1,
number_260,260米,1,-1,-1,
number_270,270米,1,-1,-1,
number_280,280米,1,-1,-1,
number_290,290米,1,-1,-1,
number_300,300米,1,166,-1,
number_350,350米,1,167,-1,
number_400,400米,1,168,-1,
number_450,450米,1,169,-1,
number_500,500米,1,-1,-1,
number_600,600米,1,-1,-1,
number_700,700米,1,-1,-1,
number_800,800米,1,-1,-1,
number_900,900米,1,-1,-1,
number_1000,1000米,1,-1,-1,
detail_bad,坏,1,-1,-1,
detail_good,好,1,-1,-1,
detail_exact,精确,1,-1,-1,
detail_very,非常,1,-1,-1,
detail_little,稍微,1,-1,-1,
detail_more,更,1,-1,-1,
detail_big,大,1,-1,-1,
detail_small,小,1,-1,-1,
detail_directly,直接,1,-1,-1,
detail_slightly,轻微,1,-1,-1,
detail_light,轻,1,-1,-1,
detail_many,多,1,-1,-1,
detail_much,多,1,-1,-1,
detail_straight,直,1,-1,-1,
detail_double,双,1,-1,-1,
detail_inside,内侧,1,-1,-1,
detail_outside,外侧,1,-1,-1,
detail_hard,难,1,-1,-1,
detail_easy,轻松,1,-1,-1,
detail_deep,凹陷/深,1,-1,-1,
detail_trust,信任/相信,1,-1,-1,
detail_remember,记住,1,-1,-1,
detail_patient,耐心,1,-1,-1,
detail_fickle,多变,1,-1,-1,
detail_important,重要,1,-1,-1,
detail_from_left,从左,1,-1,-1,
